Frame,Time,Traffic Signal Status,Tracker ID,Class,Jaywalking,Center(x),Center(y),GPS(lat),GPS(lon),Marker
3,1652373015.469559,green,1,car,NA,197,479,38.90355862751765,-77.02579717294299,3
3,1652373015.469559,green,2,car,NA,60,301,38.90339007940082,-77.02599410477065,3
3,1652373015.4705563,green,3,person,NA,585,434,38.90362241147807,-77.02582646733298,3
3,1652373015.4715555,green,4,car,NA,477,267,38.903895396791164,-77.02686660061633,0
3,1652373015.4715555,green,5,car,NA,5,283,38.90322046256652,-77.02613238037814,3
4,1652373016.25266,green,1,car,NA,204,479,38.90355962063704,-77.02579738361064,3
4,1652373016.2536566,green,2,car,NA,50,299,38.90337504365176,-77.02600358556697,3
4,1652373016.2536566,green,3,person,NA,584,432,38.90362271050849,-77.02582741600305,3
4,1652373016.2546544,green,4,car,NA,479,266,38.90392613353882,-77.0269590039587,0
4,1652373016.2546544,green,5,car,NA,5,284,38.903231901972255,-77.02611983742035,3
4,1652373016.25565,green,7,person,NA,38,314,38.90341889269478,-77.02593734178978,3
5,1652373016.9936788,green,1,car,NA,211,480,38.90356069785748,-77.0257973340183,3
5,1652373016.9946756,green,2,car,NA,37,297,38.90335652432069,-77.02601342182498,3
5,1652373016.9946756,green,3,person,NA,584,429,38.903623447526854,-77.02582893838405,3
5,1652373016.9956722,green,4,car,NA,480,265,38.90395939907724,-77.02706685585682,0
5,1652373016.9956722,green,5,car,NA,4,284,38.90323090290667,-77.0261195992377,3
5,1652373016.9966733,green,7,person,NA,38,313,38.90341622776051,-77.02594063730973,3
6,1652373017.75429,green,1,car,NA,219,480,38.9035618281613,-77.02579757376589,3
6,1652373017.75429,green,2,car,NA,28,296,38.90334480943507,-77.02601825661716,3
6,1652373017.756286,green,3,person,NA,584,427,38.90362395305814,-77.02582998260661,3
6,1652373017.7592766,green,4,car,NA,481,265,38.90396228541451,-77.02706768670404,0
6,1652373017.7602763,green,5,car,NA,4,289,38.903278806606274,-77.02606725747381,3
6,1652373017.7622693,green,8,car,NA,30,297,38.90335153087489,-77.02601227655317,3
7,1652373018.4893236,green,1,car,NA,226,480,38.90356281731466,-77.0257977835742,3
7,1652373018.4893236,green,2,car,NA,22,296,38.90334043571021,-77.0260172512927,3
7,1652373018.4913197,green,3,person,NA,583,427,38.9036237671389,-77.02582994293795,3
7,1652373018.4953094,green,4,car,NA,482,264,38.90400224786835,-77.02719642920464,0
7,1652373018.4953094,green,5,car,NA,4,291,38.903294475401374,-77.02605013703466,3
7,1652373018.4963076,green,8,car,NA,27,296,38.90334408030411,-77.02601808902243,3
8,1652373019.2483284,green,1,car,NA,232,480,38.903563665262546,-77.02579796343154,3
8,1652373019.2493274,green,2,car,NA,16,295,38.90333031606888,-77.02602280017092,3
8,1652373019.25132,green,3,person,NA,583,427,38.9036237671389,-77.02582994293795,3
8,1652373019.2612932,green,4,car,NA,484,263,38.904054257990126,-77.02735370611776,0
8,1652373019.2622895,green,7,person,NA,31,314,38.903415267866464,-77.02593653210988,0
9,1652373019.989345,green,1,car,NA,239,479,38.903564588175804,-77.02579843736083,0
9,1652373019.99035,green,2,car,NA,12,293,38.90331483964913,-77.02603615771432,3
9,1652373019.993338,green,3,person,NA,584,423,38.903624999977545,-77.02583214511745,3
9,1652373019.9973254,green,4,car,NA,484,262,38.904110799156705,-77.02754613656747,0
9,1652373019.9983225,green,7,person,NA,29,315,38.90341688590519,-77.02593312872911,0
10,1652373020.73329,green,1,car,NA,246,473,38.903565197596244,-77.02580028891202,0
10,1652373020.734287,green,2,car,NA,4,292,38.90330171331999,-77.02604222855504,3
10,1652373020.7362854,green,3,person,NA,583,419,38.90362590264966,-77.0258343707147,3
10,1652373020.7372842,green,4,car,NA,485,262,38.90411475821278,-77.02754738541063,0
10,1652373020.7412689,green,10,car,NA,9,293,38.903312496528734,-77.02603561526271,3
11,1652373021.504755,green,1,car,NA,252,468,38.90356575638658,-77.02580191633338,0
11,1652373021.504755,green,3,person,NA,583,418,38.90362618422104,-77.02583495452595,0
11,1652373021.506743,green,4,car,NA,484,261,38.90418263490002,-77.02779062010322,0
11,1652373021.5147228,green,5,car,NA,3,289,38.90327794210271,-77.02606705505538,3
11,1652373021.5157187,green,7,person,NA,26,316,38.90341795126486,-77.02592972149021,3
11,1652373021.5157187,green,10,car,NA,7,292,38.903304113562534,-77.02604278569004,3
12,1652373022.258497,green,1,car,NA,257,465,38.903566316309046,-77.02580297476827,0
12,1652373022.258497,green,3,person,NA,583,417,38.90362646924338,-77.02583554549241,0
12,1652373022.2604923,green,4,car,NA,485,260,38.90428219428,-77.02811340664654,0
12,1652373022.2614899,green,5,car,NA,3,285,38.90324069753211,-77.02610760858613,3
12,1652373022.2654788,green,7,person,NA,25,317,38.903419970503215,-77.02592664058916,3
12,1652373022.2654788,green,11,car,NA,361,298,38.903591074513315,-77.02605991433784,2
13,1652373023.0114837,green,1,car,NA,259,459,38.903566238666386,-77.02580491957114,0
13,1652373023.0124834,green,3,person,NA,583,417,38.90362646924338,-77.02583554549241,0
13,1652373023.0144787,green,4,car,NA,486,259,38.90441877762602,-77.02855623047776,0
13,1652373023.017469,green,5,car,NA,4,284,38.90323090290667,-77.0261195992377,3
13,1652373023.018469,green,7,person,NA,23,317,38.90341898331113,-77.02592642079475,3
13,1652373023.019466,green,11,car,NA,357,299,38.903588010193374,-77.0260522313369,2
14,1652373023.7648711,green,1,car,NA,265,453,38.90356679836508,-77.02580711775687,1
14,1652373023.765868,green,3,person,NA,584,415,38.9036272497014,-77.02583679213446,1
14,1652373023.7678623,green,4,car,NA,485,259,38.90441249548607,-77.0285538926841,0
14,1652373023.7728508,green,5,car,NA,4,284,38.90323090290667,-77.0261195992377,3
14,1652373023.7728508,green,7,person,NA,21,317,38.90341799624807,-77.02592620102898,3
14,1652373023.7748458,green,11,car,NA,350,303,38.90358281225402,-77.02602593630355,2
15,1652373024.517376,green,1,car,NA,270,449,38.90356735438952,-77.02580869304873,1
15,1652373024.518375,green,3,person,NA,584,413,38.90362784746464,-77.02583802687084,1
15,1652373024.519371,green,4,car,NA,485,259,38.90441249548607,-77.0285538926841,0
15,1652373024.527349,green,5,car,NA,4,284,38.90323090290667,-77.0261195992377,3
15,1652373024.528348,green,7,person,NA,19,315,38.90341179337499,-77.02593199247754,3
15,1652373024.529342,green,11,car,NA,343,305,38.90357834210693,-77.02601382930465,2
16,1652373025.2889044,green,1,car,NA,275,444,38.90356787214787,-77.02581071054014,1
16,1652373025.2899034,green,3,person,NA,583,412,38.903627948409735,-77.02583861240201,1
16,1652373025.2928956,green,4,car,NA,486,258,38.904609943099494,-77.02919816387383,0
16,1652373025.2978826,green,5,car,NA,3,283,38.90321840043983,-77.02613188664328,3
16,1652373025.2978826,green,7,person,NA,18,315,38.90341128431088,-77.02593187889447,3
16,1652373025.298879,green,11,car,NA,338,307,38.90357540263866,-77.02600290007483,2
17,1652373026.0608397,green,1,car,NA,280,439,38.90356841782783,-77.02581283683071,1
17,1652373026.0608397,green,3,person,NA,583,411,38.90362825553539,-77.02583924919762,1
17,1652373026.0628364,green,4,car,NA,486,258,38.904609943099494,-77.02919816387383,0
17,1652373026.0658271,green,5,car,NA,3,283,38.90321840043983,-77.02613188664328,3
17,1652373026.0668275,green,7,person,NA,15,314,38.903406989074696,-77.0259346828717,3
17,1652373026.0678222,green,11,car,NA,332,309,38.90357209933464,-77.02599263022103,2
18,1652373026.8533032,green,1,car,NA,284,436,38.90356893508503,-77.02581420594741,1
18,1652373026.8543026,green,3,person,NA,583,411,38.90362825553539,-77.02583924919762,1
18,1652373026.8562932,green,4,car,NA,486,258,38.904609943099494,-77.02919816387383,0
18,1652373026.8602865,green,5,car,NA,3,283,38.90321840043983,-77.02613188664328,3
18,1652373026.8612792,green,7,person,NA,13,316,38.903411436280976,-77.02592826943136,3
18,1652373026.8612792,green,11,car,NA,325,311,38.903568470610224,-77.0259829519011,2
19,1652373027.6611426,green,1,car,NA,289,433,38.90356964808957,-77.02581565891936,1
19,1652373027.6621413,green,3,person,NA,584,406,38.903630063365384,-77.02584260402296,1
19,1652373027.665131,green,4,car,NA,487,258,38.9046177547976,-77.02920134451382,0
19,1652373027.6771078,green,5,car,NA,2,284,38.90322890517705,-77.02611912296813,3
19,1652373027.6780963,green,7,person,NA,12,317,38.90341355606035,-77.0259252124384,3
19,1652373027.6780963,green,11,car,NA,318,314,38.90356532676001,-77.02597005084596,2
20,1652373028.471283,green,1,car,NA,292,430,38.90357002240981,-77.02581708396356,1
20,1652373028.4722826,green,3,person,NA,584,403,38.903631076695184,-77.02584469715133,1
20,1652373028.474276,green,4,car,NA,487,257,38.90492421658733,-77.03022363767307,0
20,1652373028.4772692,green,5,car,NA,3,284,38.90322990397496,-77.02611936108697,3
20,1652373028.4782681,green,7,person,NA,9,318,38.90341463949612,-77.02592203309263,3
20,1652373028.4792638,green,11,car,NA,310,317,38.903561977248344,-77.02595825783916,3
21,1652373029.262688,green,1,car,NA,294,426,38.90357017038319,-77.02581898190763,1
21,1652373029.2646806,green,3,person,NA,584,401,38.90363177519779,-77.02584613997435,1
21,1652373029.268671,green,4,car,NA,487,257,38.90492421658733,-77.03022363767307,0
21,1652373029.2786443,green,5,car,NA,4,284,38.90323090290667,-77.0261195992377,3
21,1652373029.2786443,green,7,person,NA,8,318,38.903414153857646,-77.02592192507718,3
21,1652373029.2806385,green,11,car,NA,302,319,38.90355861503887,-77.02595070802853,3
22,1652373030.0441134,green,1,car,NA,297,421,38.90357046089641,-77.02582150214589,1
22,1652373030.0451083,green,3,person,NA,584,400,38.903632131616476,-77.02584687619078,1
22,1652373030.046107,green,4,car,NA,487,257,38.90492421658733,-77.03022363767307,0
22,1652373030.0501008,green,5,car,NA,4,285,38.903241666336285,-77.0261078386244,3
22,1652373030.0510952,green,7,person,NA,5,316,38.903407429853274,-77.02592737647923,3
22,1652373030.0520914,green,11,car,NA,291,323,38.90355476915626,-77.0259374253385,0
23,1652373030.7991354,green,1,car,NA,300,419,38.90357093039796,-77.02582262728356,1
23,1652373030.8001347,green,3,person,NA,584,399,38.90363249294511,-77.02584762254916,1
23,1652373030.80213,green,4,car,NA,487,256,38.90548742038729,-77.03210236908713,0
23,1652373030.8071163,green,5,car,NA,3,285,38.90324069753211,-77.02610760858613,3
23,1652373030.80811,green,7,person,NA,3,319,38.903414255246986,-77.02591863129356,3
23,1652373030.8091094,green,11,car,NA,281,327,38.903551776557315,-77.02592568617749,0
24,1652373031.5425298,green,1,car,NA,302,417,38.90357121547718,-77.02582373812007,1
24,1652373031.5435274,green,3,person,NA,584,398,38.903632859285764,-77.0258483792604,1
24,1652373031.5455263,green,4,car,NA,487,256,38.90548742038729,-77.03210236908713,0
24,1652373031.555497,green,5,car,NA,3,285,38.90324069753211,-77.02610760858613,3
24,1652373031.5584855,green,7,person,NA,2,319,38.90341377702596,-77.02591852503288,3
24,1652373031.5644968,green,11,car,NA,270,331,38.90354868152611,-77.0259150692709,0
25,1652373032.3075006,green,1,car,NA,305,413,38.90357160624898,-77.02582600045466,1
25,1652373032.3084857,green,3,person,NA,583,397,38.903633005734484,-77.0258490982799,1
25,1652373032.3104768,green,4,car,NA,487,256,38.90548742038729,-77.03210236908713,0
25,1652373032.3184562,green,5,car,NA,3,285,38.90324069753211,-77.02610760858613,3
25,1652373032.3204563,green,7,person,NA,2,317,38.90340862557963,-77.02592411468603,3
25,1652373032.3244436,green,11,car,NA,258,336,38.903545911780064,-77.02590339605736,0
26,1652373033.0395262,green,1,car,NA,307,408,38.903571760316034,-77.02582891542752,1
26,1652373033.0405247,green,3,person,NA,583,396,38.90363338082922,-77.02584987600288,1
26,1652373033.0425227,green,4,car,NA,487,256,38.90548742038729,-77.03210236908713,0
26,1652373033.045509,green,5,car,NA,4,285,38.903241666336285,-77.0261078386244,3
26,1652373033.0465112,green,7,person,NA,0,317,38.903407639869876,-77.0259238952216,3
26,1652373033.0475063,green,11,car,NA,245,340,38.903542673407124,-77.02589475550285,0
27,1652373033.7725773,green,1,car,NA,309,403,38.90357192467919,-77.02583202520492,1
27,1652373033.7735753,green,3,person,NA,582,394,38.903633917238345,-77.02585141540735,1
27,1652373033.776573,green,5,car,NA,4,285,38.903241666336285,-77.0261078386244,3
27,1652373033.7855418,green,11,car,NA,231,345,38.90353980817288,-77.02588519041251,3
28,1652373034.5005605,green,1,car,NA,310,399,38.903571932204045,-77.02583463844904,1
28,1652373034.5015578,green,3,person,NA,582,393,38.903634306960825,-77.02585222652887,1
28,1652373034.503554,green,5,car,NA,4,285,38.903241666336285,-77.0261078386244,3
28,1652373034.5075433,green,11,car,NA,214,349,38.90353579711302,-77.02587783895919,3
29,1652373035.2238915,green,1,car,NA,311,397,38.903572047731956,-77.02583602357235,1
29,1652373035.22489,green,3,person,NA,582,391,38.90363510345062,-77.02585388424696,1
29,1652373035.225886,green,5,car,NA,4,285,38.903241666336285,-77.0261078386244,3
29,1652373035.2308748,green,11,car,NA,197,356,38.90353349517972,-77.02586721972199,3
30,1652373035.9788728,green,1,car,NA,312,391,38.90357194856534,-77.02584032046083,1
30,1652373035.9798703,green,3,person,NA,582,389,38.90363592350738,-77.02585559101449,1
30,1652373035.9818647,green,5,car,NA,4,285,38.903241666336285,-77.0261078386244,3
30,1652373035.9858541,green,11,car,NA,178,365,38.903531776480115,-77.02585570266345,3
31,1652373036.7533932,green,1,car,NA,311,387,38.90357147766979,-77.02584331334222,1
31,1652373036.754389,green,3,person,NA,582,388,38.90363634270266,-77.02585646347715,1
31,1652373036.7563834,green,5,car,NA,3,285,38.90324069753211,-77.02610760858613,3
31,1652373036.76536,green,11,car,NA,157,373,38.90352937038846,-77.02584668470877,1
32,1652373037.532837,green,1,car,NA,311,385,38.903571353273506,-77.02584490408141,1
32,1652373037.5338354,green,3,person,NA,582,387,38.903636768192776,-77.02585734904112,1
32,1652373037.5368268,green,5,car,NA,3,285,38.90324069753211,-77.02610760858613,3
32,1652373037.5398192,green,11,car,NA,133,381,38.90352651730847,-77.0258386378262,1
33,1652373038.3162572,green,1,car,NA,310,381,38.90357084164283,-77.02584818090097,1
33,1652373038.3182533,green,3,person,NA,581,387,38.90363652624107,-77.02585729702804,1
33,1652373038.3212428,green,5,car,NA,3,285,38.90324069753211,-77.02610760858613,3
33,1652373038.324236,green,11,car,NA,109,387,38.90352317176665,-77.0258329288778,1
34,1652373039.1066585,green,1,car,NA,308,377,38.90357003770862,-77.02585161354608,1
34,1652373039.1076593,green,3,person,NA,581,386,38.903636956331624,-77.0258581955828,1
34,1652373039.1106508,green,5,car,NA,3,285,38.90324069753211,-77.02610760858613,3
34,1652373039.1156378,green,11,car,NA,81,393,38.90351920277309,-77.02582751675241,1
35,1652373039.9140215,green,1,car,NA,306,375,38.903569352469134,-77.0258533575274,1
35,1652373039.9160166,green,3,person,NA,581,384,38.90363783633419,-77.0258600341037,1
35,1652373039.9200096,green,5,car,NA,3,285,38.90324069753211,-77.02610760858613,3
35,1652373039.9229994,green,11,car,NA,60,402,38.903518349964656,-77.02582118555345,1
36,1652373040.701955,green,1,car,NA,303,371,38.90356818470999,-77.02585708162219,1
36,1652373040.701955,green,3,person,NA,581,380,38.90363968002317,-77.02586388597967,1
36,1652373040.7049387,green,5,car,NA,4,285,38.903241666336285,-77.0261078386244,3
36,1652373040.711918,green,11,car,NA,43,409,38.90351761852848,-77.0258167386006,1
37,1652373041.4809313,green,1,car,NA,299,368,38.90356676647517,-77.02585993905889,1
37,1652373041.4819295,green,3,person,NA,580,383,38.90363803708931,-77.02586092102925,1
37,1652373041.4849188,green,5,car,NA,5,285,38.903242635266295,-77.02610806869254,3
37,1652373041.488911,green,11,car,NA,28,412,38.90351577695403,-77.0258146219363,1
38,1652373042.268365,green,1,car,NA,295,365,38.90356527233506,-77.02586294942844,1
38,1652373042.2693615,green,3,person,NA,580,379,38.903639901888546,-77.02586483194648,1
38,1652373042.2713563,green,5,car,NA,5,285,38.903242635266295,-77.02610806869254,3
38,1652373042.2753444,green,11,car,NA,13,417,38.90351480310465,-77.02581168316105,1
39,1652373043.0353792,green,1,car,NA,292,363,38.903564133638206,-77.02586502639669,1
39,1652373043.0353792,green,3,person,NA,580,377,38.90364087970031,-77.02586688264489,1
39,1652373043.0373762,green,5,car,NA,5,285,38.903242635266295,-77.02610806869254,3
40,1652373043.797358,green,1,car,NA,286,360,38.90356189552215,-77.0258681896223,0
40,1652373043.797358,green,3,person,NA,580,376,38.90364138060959,-77.02586793316803,0
40,1652373043.7993534,green,5,car,NA,6,285,38.90324360432206,-77.02610829879053,3
41,1652373044.5423658,green,1,car,NA,281,359,38.90356021232378,-77.02586908661371,0
41,1652373044.5433645,green,3,person,NA,580,375,38.90364188978529,-77.02586900102774,0
41,1652373044.5453587,green,5,car,NA,5,285,38.903242635266295,-77.02610806869254,3
42,1652373045.262511,green,1,car,NA,276,357,38.90355829340994,-77.02587126685533,0
42,1652373045.262511,green,3,person,NA,579,375,38.90364162379626,-77.02586894366418,0
42,1652373045.2655046,green,5,car,NA,5,285,38.903242635266295,-77.02610806869254,3
43,1652373045.9766004,green,1,car,NA,269,354,38.903555432005454,-77.02587473303826,0
43,1652373045.9775999,green,3,person,NA,579,375,38.90364162379626,-77.02586894366418,0
43,1652373045.979594,green,5,car,NA,5,285,38.903242635266295,-77.02610806869254,3
44,1652373046.6667936,green,1,car,NA,262,349,38.9035518269329,-77.02588132937824,0
44,1652373046.66779,green,3,person,NA,579,374,38.90364213922261,-77.02587002879687,0
44,1652373046.6697814,green,5,car,NA,5,285,38.903242635266295,-77.02610806869254,3
45,1652373047.369912,green,1,car,NA,255,347,38.903548844048295,-77.02588385163534,0
45,1652373047.370911,green,3,person,NA,577,374,38.90364160282858,-77.0258699130833,0
45,1652373047.372906,green,5,car,NA,6,285,38.90324360432206,-77.02610829879053,3
46,1652373048.1155329,green,1,car,NA,248,345,38.90354573227367,-77.02588648287879,0
46,1652373048.1165316,green,3,person,NA,577,368,38.90364485665512,-77.0258768166527,0
46,1652373048.118526,green,5,car,NA,8,285,38.90324554281114,-77.0261087590763,3
47,1652373048.8715365,green,1,car,NA,241,342,38.90354206476143,-77.02589092554636,0
47,1652373048.8725355,green,3,person,NA,576,364,38.903646930093885,-77.02588177334738,0
47,1652373048.8745291,green,5,car,NA,7,284,38.90323390050489,-77.02612031388149,3
48,1652373049.620536,green,1,car,NA,232,340,38.903537883480304,-77.02589370766799,3
48,1652373049.621533,green,3,person,NA,576,362,38.90364817329688,-77.02588442132823,3
48,1652373049.6235282,green,5,car,NA,6,284,38.903232901171634,-77.0261200756349,3
49,1652373050.3570397,green,1,car,NA,225,338,38.903534260845476,-77.02589678462704,3
49,1652373050.3580365,green,3,person,NA,576,361,38.9036488122939,-77.0258857823705,3
49,1652373050.3600304,green,5,car,NA,6,283,38.90322149384386,-77.02613262729682,3
50,1652373051.1150446,green,1,car,NA,217,336,38.90353007904038,-77.02589992427299,3
50,1652373051.1160412,green,3,person,NA,576,361,38.9036488122939,-77.0258857823705,3
50,1652373051.1180356,green,5,car,NA,7,283,38.903222525263914,-77.02613287424978,3
51,1652373051.873533,green,1,car,NA,210,335,38.90352674121877,-77.02590129412624,3
51,1652373051.873533,green,3,person,NA,575,360,38.90364915963852,-77.02588710322364,3
51,1652373051.8765254,green,5,car,NA,7,284,38.90323390050489,-77.02612031388149,3
52,1652373052.6440587,green,1,car,NA,201,333,38.90352181791756,-77.0259045742463,3
52,1652373052.6450555,green,3,person,NA,574,359,38.90364951357246,-77.02588844913414,3
52,1652373052.6470501,green,5,car,NA,7,284,38.90323390050489,-77.02612031388149,3
53,1652373053.3956175,green,1,car,NA,193,331,38.903517054431774,-77.02590811114409,3
53,1652373053.3956175,green,3,person,NA,574,358,38.90365018380217,-77.02588988795837,3
53,1652373053.3986118,green,5,car,NA,8,284,38.903234899972105,-77.02612055215988,3
54,1652373054.1591656,green,1,car,NA,184,328,38.903510714942534,-77.02591404881852,3
54,1652373054.1591656,green,3,person,NA,572,359,38.90364890046137,-77.02588831619786,3
54,1652373054.1611583,green,5,car,NA,7,284,38.90323390050489,-77.02612031388149,3
55,1652373054.9151816,green,1,car,NA,176,326,38.90350532624697,-77.025918083348,3
55,1652373054.9161763,green,3,person,NA,572,358,38.90364956478052,-77.02588975368833,3
55,1652373054.9181721,green,4,car,NA,483,245,38.90306528071875,-77.0239759286159,0
55,1652373054.9211638,green,5,car,NA,7,284,38.90323390050489,-77.02612031388149,3
56,1652373055.667172,green,1,car,NA,167,324,38.90349918732913,-77.02592224366505,3
56,1652373055.6681695,green,4,car,NA,482,245,38.90306888718321,-77.02397627391699,0
56,1652373055.6691656,green,5,car,NA,7,284,38.90323390050489,-77.02612031388149,3
57,1652373056.4251711,green,1,car,NA,159,322,38.903493158431765,-77.02592674500065,3
57,1652373056.4261713,green,4,car,NA,482,245,38.90306888718321,-77.02397627391699,0
57,1652373056.4271686,green,5,car,NA,7,283,38.903222525263914,-77.02613287424978,3
58,1652373057.1803713,green,1,car,NA,150,320,38.903486297543054,-77.02593140686437,3
58,1652373057.1813686,green,4,car,NA,482,245,38.90306888718321,-77.02397627391699,0
58,1652373057.1843612,green,5,car,NA,7,284,38.90323390050489,-77.02612031388149,3
59,1652373057.9369664,green,1,car,NA,140,319,38.9034800591515,-77.0259332529162,3
59,1652373057.9369664,green,4,car,NA,483,244,38.90311883937918,-77.02415944992231,0
59,1652373057.9399605,green,5,car,NA,7,284,38.90323390050489,-77.02612031388149,3
60,1652373058.7079067,green,1,car,NA,131,317,38.903472476998644,-77.02593833095632,3
60,1652373058.7089028,green,3,person,NA,569,358,38.90364863634173,-77.02588955230355,3
60,1652373058.7108967,green,4,car,NA,483,245,38.90306528071875,-77.0239759286159,0
60,1652373058.7108967,green,5,car,NA,7,284,38.90323390050489,-77.02612031388149,3
61,1652373059.4579358,green,1,car,NA,123,317,38.90346850151169,-77.02593744582961,3
61,1652373059.4579358,green,3,person,NA,569,358,38.90364863634173,-77.02588955230355,3
61,1652373059.460924,green,4,car,NA,483,245,38.90306528071875,-77.0239759286159,0
61,1652373059.4649174,green,5,car,NA,6,284,38.903232901171634,-77.0261200756349,3
62,1652373060.1530752,green,1,car,NA,114,315,38.90346031153258,-77.02594281790876,3
